# Machine-readable map from paper claims to on-disk aggregate CSVs.
# Columns:
#   paper_location  — section / figure / table pointer
#   claim           — human-readable name of the claim
#   value           — numeric value as it appears in the paper (string to preserve formatting)
#   tolerance       — absolute tolerance for verify_numbers.py (0 = exact match for integers)
#   source          — path (relative to package root) + locator inside the file
#   status          — VERIFIED (checks against source), NOT_MEASURABLE (the quantity
#                     could not be observed for that condition; value is '—'),
#                     NOTE (informational). No TODO_CAMERA_READY entries remain.
paper_location,claim,value,tolerance,source,status
"Figure 3","NNA smell reduction %","-96.1",0.01,"02_phase4_segtr_full/aggregate/smell_reduction_79.csv:NNA:delta_pct",VERIFIED
"Figure 3","EDED smell reduction %","-80.1",0.01,"02_phase4_segtr_full/aggregate/smell_reduction_79.csv:EDED:delta_pct",VERIFIED
"Figure 3","TSES smell reduction %","-73.6",0.01,"02_phase4_segtr_full/aggregate/smell_reduction_79.csv:TSES:delta_pct",VERIFIED
"Figure 3","EDIS smell reduction %","-59.1",0.01,"02_phase4_segtr_full/aggregate/smell_reduction_79.csv:EDIS:delta_pct",VERIFIED
"Figure 3","ENET smell reduction %","-40.2",0.01,"02_phase4_segtr_full/aggregate/smell_reduction_79.csv:ENET:delta_pct",VERIFIED
"Figure 3","NARV smell reduction %","-36.7",0.01,"02_phase4_segtr_full/aggregate/smell_reduction_79.csv:NARV:delta_pct",VERIFIED
"Figure 3","DS smell reduction %","-26.9",0.01,"02_phase4_segtr_full/aggregate/smell_reduction_79.csv:DS:delta_pct",VERIFIED
"Figure 3","TOFA smell reduction %","-10.8",0.01,"02_phase4_segtr_full/aggregate/smell_reduction_79.csv:TOFA:delta_pct",VERIFIED
"Figure 3","OIMT smell reduction %","-3.9",0.01,"02_phase4_segtr_full/aggregate/smell_reduction_79.csv:OIMT:delta_pct",VERIFIED
"Figure 3","AC smell reduction %","-0.3",0.01,"02_phase4_segtr_full/aggregate/smell_reduction_79.csv:AC:delta_pct",VERIFIED
"Figure 3","NASE smell reduction %","+14.4",0.01,"02_phase4_segtr_full/aggregate/smell_reduction_79.csv:NASE:delta_pct",VERIFIED
"Figure 3","TSVM smell reduction %","+43.5",0.01,"02_phase4_segtr_full/aggregate/smell_reduction_79.csv:TSVM:delta_pct",VERIFIED
"Figure 3","ARPM smell reduction %","—",,"02_phase4_segtr_full/aggregate/smell_reduction_79.csv (row absent: 0 before and 0 after on every project, so no percentage is defined)",NOT_MEASURABLE
"Figure 3","smell-reduction cohort n","79",0,"01_cohort/heldout_81.txt minus 57_hft-bomberman and 61_noen (Ant build failure)",VERIFIED
"§5 RQ2","coverage mean Δ (pp)","+0.107",0.01,"02_phase4_segtr_full/aggregate/preservation_79coverage.csv:__AGGREGATE__",VERIFIED
"§5 RQ2","coverage n","79",0,"02_phase4_segtr_full/aggregate/preservation_79coverage.csv:__AGGREGATE__:bin",VERIFIED
"§5 RQ2","mutation mean Δ (pp)","+0.823",0.01,"02_phase4_segtr_full/aggregate/preservation_54mutation_evalonly.csv:__AGGREGATE__",VERIFIED
"§5 RQ2","mutation n","54",0,"02_phase4_segtr_full/aggregate/preservation_54mutation_evalonly.csv:__AGGREGATE__:category",VERIFIED
