project,tests_total,line_coverage_pristine,branch_coverage_pristine,instruction_coverage_pristine,mutation_score_pristine_pct,pristine_mutants,pristine_killed,v2_after_score_pct,category_v1,phase4_coverage_outlier_note
2_a4j,462,0.2544,0.2447,0.2725,35.991,2659,957,37.9469,healthy,
3_gaj,42,0.3456,0.1917,0.3336,31.1653,369,115,31.694,healthy,initial Δline=-5.81pp classified as drain artifact; re-verified Δline=+0.07pp; row replaced in Phase 4.3 aggregation
4_rif,51,0.3449,0.2841,0.2863,25.4516,609,155,25.6536,healthy,initial Δline=-14.98pp classified as drain artifact; re-verified Δline=+0.05pp; row replaced in Phase 4.3 aggregation
6_jnfe,141,0.3654,0.238,0.3283,25.6193,1655,424,25.5383,healthy,
7_sfmis,154,0.3664,0.228,0.3324,16.6815,1121,187,20.2609,healthy,
8_gfarcegestionfa,165,0.2977,0.2875,0.3071,27.8664,2634,734,28.4473,healthy,
9_falselight,15,0.3173,0.2354,0.3291,37.6812,69,26,37.6812,healthy,
11_imsmart,51,0.3259,0.2572,0.3219,30.7554,556,171,30.7554,healthy,
12_dsachat,174,0.2976,0.2602,0.2943,15.5493,2148,334,15.6899,healthy,
14_omjstate,46,0.342,0.2786,0.3533,23.9741,463,111,24.109,healthy,
16_templatedetails,68,0.2962,0.2265,0.303,22.0,200,44,22.9167,healthy,
17_inspirento,216,0.3409,0.2148,0.3318,32.6019,1914,624,33.9886,healthy,
20_nekomud,17,0.3469,0.274,0.3576,21.5054,279,60,22.0641,healthy,
24_saxpath,344,0.2794,0.2289,0.3035,28.1298,1294,364,29.3117,healthy,
25_jni-inchi,208,0.3047,0.2616,0.3215,24.3655,1182,288,25.3498,healthy,
26_jipa,49,0.3188,0.231,0.3314,43.3657,309,134,50.7299,healthy,
30_bpmail,147,0.3383,0.2116,0.3188,27.4909,1375,378,28.9886,healthy,
39_diffi,58,0.3141,0.2416,0.324,30.5085,590,180,31.6225,healthy,
40_glengineer,317,0.3215,0.2025,0.3151,31.0172,2389,741,31.5051,healthy,
41_follow,258,0.3175,0.2142,0.3088,21.2694,2064,439,21.7874,healthy,
42_asphodel,60,0.3419,0.2772,0.3507,20.8882,608,127,22.9032,healthy,
53_shp2kml,17,0.3268,0.2499,0.3373,24.5989,187,46,25.0,healthy,
54_db-everywhere,843,0.2785,0.2168,0.2687,18.3297,6023,1104,22.0949,healthy,
55_lavalamp,181,0.3482,0.2239,0.3335,25.6617,1738,446,26.2655,healthy,
60_sugar,213,0.3419,0.2128,0.3322,36.9541,1786,660,37.4042,healthy,
63_objectexplorer,454,0.2344,0.2599,0.2201,25.4922,4876,1243,25.8104,healthy,
68_biblestudy,246,0.3496,0.2171,0.3397,32.3632,1718,556,33.4505,healthy,
74_fixsuite,146,0.2997,0.2584,0.3089,23.9506,1620,388,25.2258,healthy,
76_dash-framework,21,0.3071,0.2268,0.3224,30.8458,402,124,30.8458,healthy,
90_dcparseargs,40,0.3057,0.2215,0.3169,37.5427,293,110,37.7551,healthy,
98_trans-locator,20,0.3062,0.2272,0.3171,25.6757,296,76,25.7627,healthy,
100_jgaap,76,0.3091,0.253,0.3189,77.0318,283,218,77.3852,healthy,
