project,bin,tests_total,line_coverage_pristine,branch_coverage_pristine,mutation_score_pristine_pct,v2_after_score_pct,full_plans_submitted,full_plans_accepted,full_llm_calls,full_cost_usd,full_smells_before,full_smells_after,full_smell_reduction_pct,full_jacoco_line_before,full_jacoco_line_after,phase4_coverage_outlier_note
3_gaj,small,42,0.3456,0.1917,31.1653,31.694,30,20,57,0.011839,59,44,25.42,0.3456,0.3463,initial Δline=-5.81pp classified as drain artifact; re-verified Δline=+0.07pp; row replaced in Phase 4.3 aggregation
4_rif,small,51,0.3449,0.2841,25.4516,25.6536,26,14,52,0.010589,58,49,15.52,0.3449,0.3454,initial Δline=-14.98pp classified as drain artifact; re-verified Δline=+0.05pp; row replaced in Phase 4.3 aggregation
11_imsmart,small,51,0.3259,0.2572,30.7554,30.7554,11,5,27,0.005556,28,30,-7.14,0.3259,0.3266,
14_omjstate,small,46,0.342,0.2786,23.9741,24.109,25,20,48,0.010854,61,49,19.67,0.342,0.3424,
90_dcparseargs,small,40,0.3057,0.2215,37.5427,37.7551,40,15,55,0.013753,64,54,15.62,0.3057,0.3057,
7_sfmis,medium,154,0.3664,0.228,16.6815,20.2609,161,64,254,0.05211,273,233,14.65,0.3664,0.3665,
8_gfarcegestionfa,medium,165,0.2977,0.2875,27.8664,28.4473,112,54,194,0.041293,225,189,16.0,0.2977,0.2984,
12_dsachat,medium,174,0.2976,0.2602,15.5493,15.6899,93,38,174,0.042362,223,194,13.0,0.2976,0.2986,
42_asphodel,medium,60,0.3419,0.2772,20.8882,22.9032,52,32,87,0.01711,98,91,7.14,0.3419,0.3432,
60_sugar,medium,213,0.3419,0.2128,36.9541,37.4042,136,95,230,0.052446,330,270,18.18,0.3419,0.3424,
2_a4j,large,462,0.2544,0.2447,35.991,37.9469,338,199,588,0.130124,737,696,5.56,0.2544,0.2545,
41_follow,large,258,0.3175,0.2142,21.2694,21.7874,160,72,226,0.056073,309,278,10.03,0.3175,0.3184,
54_db-everywhere,large,843,0.2785,0.2168,18.3297,22.0949,734,459,1100,0.231807,1557,1366,12.27,0.2785,0.2811,
63_objectexplorer,large,454,0.2344,0.2599,25.4922,25.8104,240,130,351,0.075879,520,421,19.04,0.2344,0.2366,
68_biblestudy,large,246,0.3496,0.2171,32.3632,33.4505,204,100,286,0.072512,374,293,21.66,0.3496,0.3535,
