project,attempted_methods,compile_ok_methods,compile_success_rate,status
1_tullibee,345,310,0.898551,ok
2_a4j,394,369,0.936548,ok
3_gaj,32,14,0.437500,ok
4_rif,33,33,1.000000,ok
5_templateit,125,101,0.808000,ok
6_jnfe,118,99,0.838983,ok
7_sfmis,135,82,0.607407,ok
8_gfarcegestionfa,133,119,0.894737,ok
9_falselight,8,8,1.000000,ok
10_water-simulator,184,16,0.086957,ok
11_imsmart,25,23,0.920000,ok
12_dsachat,130,115,0.884615,ok
13_jdbacl,956,882,0.922594,ok
14_omjstate,38,35,0.921053,ok
15_beanbin,81,64,0.790123,ok
16_templatedetails,15,6,0.400000,ok
17_inspirento,160,149,0.931250,ok
18_jsecurity,989,197,0.199191,ok
19_jmca,422,312,0.739336,ok
20_nekomud,14,12,0.857143,ok
21_geo-google,933,295,0.316184,ok
22_byuic,338,293,0.866864,ok
23_jwbf,26,26,1.000000,ok
24_saxpath,164,148,0.902439,ok
25_jni-inchi,192,184,0.958333,ok
26_jipa,27,27,1.000000,ok
27_gangup,399,362,0.907268,ok
28_greencow,1,1,1.000000,ok
29_apbsmem,283,260,0.918728,ok
30_bpmail,122,108,0.885246,ok
31_xisemele,167,112,0.670659,ok
32_httpanalyzer,29,25,0.862069,ok
33_javaviewcontrol,156,131,0.839744,ok
34_sbmlreader2,14,14,1.000000,ok
35_corina,1205,191,0.158506,ok
36_schemaspy,428,367,0.857477,ok
37_petsoar,261,89,0.340996,ok
38_javabullboard,252,197,0.781746,ok
39_diffi,46,42,0.913043,ok
40_glengineer,270,222,0.822222,ok
41_follow,181,140,0.773481,ok
42_asphodel,52,22,0.423077,ok
45_lotus,50,10,0.200000,ok
46_nutzenportfolio,587,67,0.114140,ok
47_dvd-homevideo,19,18,0.947368,ok
48_resources4j,20,17,0.850000,ok
49_diebierse,116,114,0.982759,ok
50_biff,33,33,1.000000,ok
51_jiprof,848,640,0.754717,ok
52_lagoon,404,288,0.712871,ok
53_shp2kml,10,10,1.000000,ok
54_db-everywhere,799,170,0.212766,ok
55_lavalamp,134,111,0.828358,ok
56_jhandballmoves,433,362,0.836028,ok
57_hft-bomberman,433,347,0.801386,ok
58_fps370,39,36,0.923077,ok
59_mygrid,314,212,0.675159,ok
60_sugar,174,145,0.833333,ok
61_noen,1212,19,0.015677,ok
63_objectexplorer,343,35,0.102041,ok
65_gsftp,58,50,0.862069,ok
67_gae-app-manager,25,25,1.000000,ok
68_biblestudy,178,156,0.876404,ok
69_lhamacaw,800,580,0.725000,ok
70_echodep,211,200,0.947867,ok
71_ext4j,174,155,0.890805,ok
72_battlecry,87,77,0.885057,ok
73_fim1,226,222,0.982301,ok
74_fixsuite,134,130,0.970149,ok
75_openhre,763,698,0.914810,ok
76_dash-framework,17,16,0.941176,ok
77_io-project,55,41,0.745455,ok
79_twfbplayer,477,267,0.559748,ok
81_javathena,848,782,0.922170,ok
82_ipcalculator,15,9,0.600000,ok
83_xbus,562,414,0.736655,ok
85_shop,287,260,0.905923,ok
86_at-robots2-j,733,304,0.414734,ok
87_jaw-br,115,113,0.982609,ok
88_jopenchart,284,257,0.904930,ok
89_jiggler,925,804,0.869189,ok
90_dcparseargs,37,37,1.000000,ok
91_classviewer,65,60,0.923077,ok
92_jcvi-javacommon,2407,437,0.181554,ok
93_quickserver,1068,973,0.911049,ok
94_jclo,15,14,0.933333,ok
95_celwars2009,40,37,0.925000,ok
96_heal,1369,1252,0.914536,ok
97_feudalismgame,165,162,0.981818,ok
98_trans-locator,19,19,1.000000,ok
99_newzgrabber,176,156,0.886364,ok
100_jgaap,57,43,0.754386,ok
101_netweaver,2000,1891,0.945500,ok
106_checkstyle,477,429,0.899371,ok
