project,attempted_methods,validity_gate_attempted_methods,validity_gate_ok_methods,validity_gate_success_rate,status
1_tullibee,345,310,305,0.983871,ok
2_a4j,394,369,354,0.959350,ok
3_gaj,32,14,13,0.928571,ok
4_rif,33,33,33,1.000000,ok
5_templateit,125,101,78,0.772277,ok
6_jnfe,118,99,85,0.858586,ok
7_sfmis,135,82,79,0.963415,ok
8_gfarcegestionfa,133,119,110,0.924370,ok
9_falselight,8,8,8,1.000000,ok
10_water-simulator,184,16,15,0.937500,ok
11_imsmart,25,23,21,0.913043,ok
12_dsachat,130,115,110,0.956522,ok
13_jdbacl,956,882,343,0.388889,ok
14_omjstate,38,35,34,0.971429,ok
15_beanbin,81,64,55,0.859375,ok
16_templatedetails,15,6,6,1.000000,ok
17_inspirento,160,149,133,0.892617,ok
18_jsecurity,989,197,178,0.903553,ok
19_jmca,422,312,287,0.919872,ok
20_nekomud,14,12,10,0.833333,ok
21_geo-google,933,295,293,0.993220,ok
22_byuic,338,293,278,0.948805,ok
23_jwbf,26,26,23,0.884615,ok
24_saxpath,164,148,143,0.966216,ok
25_jni-inchi,192,184,157,0.853261,ok
26_jipa,27,27,27,1.000000,ok
27_gangup,399,362,307,0.848066,ok
28_greencow,1,1,1,1.000000,ok
29_apbsmem,283,260,226,0.869231,ok
30_bpmail,122,108,107,0.990741,ok
31_xisemele,167,112,104,0.928571,ok
32_httpanalyzer,29,25,21,0.840000,ok
33_javaviewcontrol,156,131,123,0.938931,ok
34_sbmlreader2,14,14,1,0.071429,ok
35_corina,1205,191,156,0.816754,ok
36_schemaspy,428,367,257,0.700272,ok
37_petsoar,261,89,77,0.865169,ok
38_javabullboard,252,197,142,0.720812,ok
39_diffi,46,42,41,0.976190,ok
40_glengineer,270,222,209,0.941441,ok
41_follow,181,140,112,0.800000,ok
42_asphodel,52,22,21,0.954545,ok
45_lotus,50,10,9,0.900000,ok
46_nutzenportfolio,587,67,66,0.985075,ok
47_dvd-homevideo,19,18,17,0.944444,ok
48_resources4j,20,17,17,1.000000,ok
49_diebierse,116,114,96,0.842105,ok
50_biff,33,33,22,0.666667,ok
51_jiprof,848,640,596,0.931250,ok
52_lagoon,404,288,267,0.927083,ok
53_shp2kml,10,10,10,1.000000,ok
54_db-everywhere,799,170,167,0.982353,ok
55_lavalamp,134,111,105,0.945946,ok
56_jhandballmoves,433,362,313,0.864641,ok
57_hft-bomberman,433,347,271,0.780980,ok
58_fps370,39,36,36,1.000000,ok
59_mygrid,314,212,212,1.000000,ok
60_sugar,174,145,135,0.931034,ok
61_noen,1212,19,19,1.000000,ok
63_objectexplorer,343,35,34,0.971429,ok
65_gsftp,58,50,47,0.940000,ok
67_gae-app-manager,25,25,23,0.920000,ok
68_biblestudy,178,156,151,0.967949,ok
69_lhamacaw,800,580,386,0.665517,ok
70_echodep,211,200,179,0.895000,ok
71_ext4j,174,155,132,0.851613,ok
72_battlecry,87,77,70,0.909091,ok
73_fim1,226,222,204,0.918919,ok
74_fixsuite,134,130,123,0.946154,ok
75_openhre,763,698,592,0.848138,ok
76_dash-framework,17,16,14,0.875000,ok
77_io-project,55,41,10,0.243902,ok
79_twfbplayer,477,267,227,0.850187,ok
81_javathena,848,782,717,0.916880,ok
82_ipcalculator,15,9,9,1.000000,ok
83_xbus,562,414,365,0.881643,ok
85_shop,287,260,232,0.892308,ok
86_at-robots2-j,733,304,285,0.937500,ok
87_jaw-br,115,113,98,0.867257,ok
88_jopenchart,284,257,205,0.797665,ok
89_jiggler,925,804,736,0.915423,ok
90_dcparseargs,37,37,34,0.918919,ok
91_classviewer,65,60,55,0.916667,ok
92_jcvi-javacommon,2407,437,432,0.988558,ok
93_quickserver,1068,973,860,0.883864,ok
94_jclo,15,14,14,1.000000,ok
95_celwars2009,40,37,35,0.945946,ok
96_heal,1369,1252,1193,0.952875,ok
97_feudalismgame,165,162,98,0.604938,ok
98_trans-locator,19,19,16,0.842105,ok
99_newzgrabber,176,156,143,0.916667,ok
100_jgaap,57,43,42,0.976744,ok
101_netweaver,2000,1891,1841,0.973559,ok
106_checkstyle,477,429,142,0.331002,ok
