section,project,key,method,count_before,count_after,delta,validity_ok,smells_before,smells_after,diff_path
improved,19_jmca,jmca.JavaParser,test104,4,0,-4,1,Duplicated Setup|Exceptions due to incomplete setup|Exceptions due to null arguments|Testing the same exception scenario,,output/by_project/19_jmca/run_20260128_023712/patches/jmca/JavaParser/test104.diff
improved,36_schemaspy,schemaspy.TableOrderer,test0,4,0,-4,1,Duplicated Setup|Exceptions due to incomplete setup|Exceptions due to null arguments|Not asserted return values,,output/by_project/36_schemaspy/run_20260127_121410/patches/schemaspy/TableOrderer/test0.diff
improved,49_diebierse,diebierse.DefaultInfoViewMouseListener,test3,4,0,-4,1,Duplicated Setup|Exceptions due to incomplete setup|Exceptions due to null arguments|Testing the same exception scenario,,output/by_project/49_diebierse/run_20260128_001935/patches/diebierse/DefaultInfoViewMouseListener/test3.diff
improved,52_lagoon,lagoon.Node,test07,4,0,-4,1,Duplicated Setup|Multiple calls to the same void method|Not asserted return values|Not asserted side effects,,output/by_project/52_lagoon/run_20260127_193324/patches/lagoon/Node/test07.diff
improved,54_db-everywhere,db-everywhere.CreateTableAction,test5,5,1,-4,1,Duplicated Setup|Exceptions due to incomplete setup|Exceptions due to null arguments|Not asserted return values|Testing the same exception scenario,Not asserted return values,output/by_project/54_db-everywhere/run_20260128_154344/patches/db-everywhere/CreateTableAction/test5.diff
improved,57_hft-bomberman,hft-bomberman.BombExplodedMsg,test0,4,0,-4,1,Duplicated Setup|Exceptions due to incomplete setup|Exceptions due to null arguments|Not asserted return values,,output/by_project/57_hft-bomberman/run_20260128_022159/patches/hft-bomberman/BombExplodedMsg/test0.diff
improved,57_hft-bomberman,hft-bomberman.SessionDetailsMsg,test6,4,0,-4,1,Asserting object initialization multiple times|Duplicated Setup|Not asserted return values|Testing only field accesors,,output/by_project/57_hft-bomberman/run_20260128_022159/patches/hft-bomberman/SessionDetailsMsg/test6.diff
improved,70_echodep,echodep.HaSZipUtils,test5,4,0,-4,1,Duplicated Setup|Multiple calls to the same void method|Not asserted return values|Not asserted side effects,,output/by_project/70_echodep/run_20260128_030516/patches/echodep/HaSZipUtils/test5.diff
improved,75_openhre,openhre.ExpressionImpl,test01,4,0,-4,1,Duplicated Setup|Multiple calls to the same void method|Not asserted return values|Not asserted side effects,,output/by_project/75_openhre/run_20260128_050625/patches/openhre/ExpressionImpl/test01.diff
improved,79_twfbplayer,twfbplayer.BattleStatistics,test01,4,0,-4,1,Asserting object initialization multiple times|Duplicated Setup|Multiple calls to the same void method|Not asserted side effects,,output/by_project/79_twfbplayer/run_20260128_051140/patches/twfbplayer/BattleStatistics/test01.diff
unchanged,51_jiprof,jiprof.GeneratorAdapter,test032,5,5,0,1,Asserting Constants|Asserting object initialization multiple times|Duplicated Setup|Multiple calls to the same void method|Not asserted side effects,Asserting object initialization multiple times|Duplicated Setup|Multiple calls to the same void method|Not asserted side effects|Not null assertion,output/by_project/51_jiprof/run_20260127_164837/patches/jiprof/GeneratorAdapter/test032.diff
