section,project,key,method,smell_type,count_before,count_after,delta,validity_ok,smells_before,smells_after
easy_smells,,,,Testing the same exception scenario,3202,1172,-2030,,,
easy_smells,,,,Exceptions due to incomplete setup,1572,720,-852,,,
easy_smells,,,,Exceptions due to null arguments,2066,1131,-935,,,
easy_smells,,,,Asserting Constants,414,232,-182,,,
easy_smells,,,,Exceptions due to external dependencies,276,164,-112,,,
easy_smells,,,,Duplicated Setup,10524,8938,-1586,,,
easy_smells,,,,Asserting object initialization multiple times,14398,12415,-1983,,,
easy_smells,,,,Testing only field accesors,6587,5933,-654,,,
easy_smells,,,,Not asserted return values,4648,4229,-419,,,
easy_smells,,,,Not asserted side effects,7712,7290,-422,,,
hard_smells,,,,Multiple calls to the same void method,4099,4693,594,,,
hard_smells,,,,Not null assertion,536,1137,601,,,
improved_methods,19_jmca,jmca.JavaParser,test104,,4,0,-4,1,Duplicated Setup|Exceptions due to incomplete setup|Exceptions due to null arguments|Testing the same exception scenario,
improved_methods,36_schemaspy,schemaspy.TableOrderer,test0,,4,0,-4,1,Duplicated Setup|Exceptions due to incomplete setup|Exceptions due to null arguments|Not asserted return values,
improved_methods,49_diebierse,diebierse.DefaultInfoViewMouseListener,test3,,4,0,-4,1,Duplicated Setup|Exceptions due to incomplete setup|Exceptions due to null arguments|Testing the same exception scenario,
improved_methods,52_lagoon,lagoon.Node,test07,,4,0,-4,1,Duplicated Setup|Multiple calls to the same void method|Not asserted return values|Not asserted side effects,
improved_methods,54_db-everywhere,db-everywhere.CreateTableAction,test5,,5,1,-4,1,Duplicated Setup|Exceptions due to incomplete setup|Exceptions due to null arguments|Not asserted return values|Testing the same exception scenario,Not asserted return values
improved_methods,57_hft-bomberman,hft-bomberman.BombExplodedMsg,test0,,4,0,-4,1,Duplicated Setup|Exceptions due to incomplete setup|Exceptions due to null arguments|Not asserted return values,
improved_methods,57_hft-bomberman,hft-bomberman.SessionDetailsMsg,test6,,4,0,-4,1,Asserting object initialization multiple times|Duplicated Setup|Not asserted return values|Testing only field accesors,
improved_methods,70_echodep,echodep.HaSZipUtils,test5,,4,0,-4,1,Duplicated Setup|Multiple calls to the same void method|Not asserted return values|Not asserted side effects,
improved_methods,75_openhre,openhre.ExpressionImpl,test01,,4,0,-4,1,Duplicated Setup|Multiple calls to the same void method|Not asserted return values|Not asserted side effects,
improved_methods,79_twfbplayer,twfbplayer.BattleStatistics,test01,,4,0,-4,1,Asserting object initialization multiple times|Duplicated Setup|Multiple calls to the same void method|Not asserted side effects,
unchanged_methods,51_jiprof,jiprof.GeneratorAdapter,test032,,5,5,0,1,Asserting Constants|Asserting object initialization multiple times|Duplicated Setup|Multiple calls to the same void method|Not asserted side effects,Asserting object initialization multiple times|Duplicated Setup|Multiple calls to the same void method|Not asserted side effects|Not null assertion
unchanged_methods,56_jhandballmoves,jhandballmoves.MoveEvent,test01,,5,5,0,1,Asserting object initialization multiple times|Duplicated Setup|Multiple calls to the same void method|Not asserted return values|Not asserted side effects,Asserting object initialization multiple times|Duplicated Setup|Multiple calls to the same void method|Not asserted return values|Not asserted side effects
unchanged_methods,68_biblestudy,biblestudy.ServletConnection,test19,,5,5,0,1,Asserting object initialization multiple times|Duplicated Setup|Multiple calls to the same void method|Not asserted return values|Not asserted side effects,Asserting object initialization multiple times|Duplicated Setup|Multiple calls to the same void method|Not asserted return values|Not asserted side effects
unchanged_methods,91_classviewer,classviewer.ClassInfo,test17,,5,5,0,1,Asserting Constants|Asserting object initialization multiple times|Duplicated Setup|Multiple calls to the same void method|Not asserted side effects,Asserting Constants|Asserting object initialization multiple times|Multiple calls to the same void method|Not asserted side effects|Not null assertion
unchanged_methods,93_quickserver,quickserver.RoundRobinLoadPattern,test2,,5,5,0,1,Asserting Constants|Duplicated Setup|Multiple calls to the same void method|Not asserted return values|Not asserted side effects,Asserting object initialization multiple times|Duplicated Setup|Multiple calls to the same void method|Not asserted return values|Not asserted side effects
unchanged_methods,93_quickserver,quickserver.PooledBlockingClient,test04,,5,5,0,1,Asserting object initialization multiple times|Duplicated Setup|Multiple calls to the same void method|Not asserted return values|Not asserted side effects,Asserting object initialization multiple times|Duplicated Setup|Multiple calls to the same void method|Not asserted return values|Not asserted side effects
unchanged_methods,93_quickserver,quickserver.PooledBlockingClient,test03,,5,5,0,1,Asserting object initialization multiple times|Duplicated Setup|Multiple calls to the same void method|Not asserted return values|Not asserted side effects,Asserting object initialization multiple times|Duplicated Setup|Multiple calls to the same void method|Not asserted return values|Not asserted side effects
unchanged_methods,13_jdbacl,jdbacl.DBProcedure,test1,,4,4,0,1,Asserting object initialization multiple times|Duplicated Setup|Multiple calls to the same void method|Not asserted side effects,Asserting object initialization multiple times|Duplicated Setup|Multiple calls to the same void method|Not asserted side effects
unchanged_methods,15_beanbin,beanbin.Criteria,test4,,4,4,0,1,Asserting object initialization multiple times|Duplicated Setup|Not asserted side effects|Testing only field accesors,Asserting object initialization multiple times|Duplicated Setup|Not asserted side effects|Testing only field accesors
unchanged_methods,18_jsecurity,jsecurity.ActiveDirectoryRealm,test0,,4,4,0,1,Duplicated Setup|Multiple calls to the same void method|Not asserted return values|Not asserted side effects,Duplicated Setup|Multiple calls to the same void method|Not asserted return values|Not asserted side effects
regression_methods,29_apbsmem,apbsmem.PlotYAxis,test13,,1,5,4,1,Exceptions due to incomplete setup,Asserting object initialization multiple times|Multiple calls to the same void method|Not asserted side effects|Not null assertion|Testing only field accesors
regression_methods,96_heal,heal.AdvSearchDAO,test09,,2,6,4,1,Duplicated Setup|Exceptions due to incomplete setup,Asserting object initialization multiple times|Duplicated Setup|Multiple calls to the same void method|Not asserted side effects|Not null assertion|Testing only field accesors
regression_methods,1_tullibee,tullibee.ScannerSubscription,test40,,2,5,3,1,Asserting object initialization multiple times|Testing only field accesors,Asserting object initialization multiple times|Duplicated Setup|Multiple calls to the same void method|Not asserted side effects|Testing only field accesors
regression_methods,1_tullibee,tullibee.ScannerSubscription,test30,,3,6,3,1,Asserting object initialization multiple times|Not asserted side effects|Testing only field accesors,Asserting Constants|Asserting object initialization multiple times|Duplicated Setup|Multiple calls to the same void method|Not asserted side effects|Testing only field accesors
regression_methods,1_tullibee,tullibee.ScannerSubscription,test04,,2,5,3,1,Asserting object initialization multiple times|Testing only field accesors,Asserting object initialization multiple times|Duplicated Setup|Multiple calls to the same void method|Not asserted side effects|Testing only field accesors
regression_methods,1_tullibee,tullibee.ScannerSubscription,test02,,2,5,3,1,Asserting object initialization multiple times|Testing only field accesors,Asserting object initialization multiple times|Duplicated Setup|Multiple calls to the same void method|Not asserted side effects|Testing only field accesors
regression_methods,1_tullibee,tullibee.ScannerSubscription,test09,,2,5,3,1,Asserting object initialization multiple times|Testing only field accesors,Asserting object initialization multiple times|Duplicated Setup|Multiple calls to the same void method|Not asserted side effects|Testing only field accesors
regression_methods,1_tullibee,tullibee.ScannerSubscription,test00,,3,6,3,1,Asserting object initialization multiple times|Not asserted side effects|Testing only field accesors,Asserting Constants|Asserting object initialization multiple times|Duplicated Setup|Multiple calls to the same void method|Not asserted side effects|Testing only field accesors
regression_methods,1_tullibee,tullibee.ScannerSubscription,test31,,2,5,3,1,Asserting object initialization multiple times|Testing only field accesors,Asserting object initialization multiple times|Duplicated Setup|Multiple calls to the same void method|Not asserted side effects|Testing only field accesors
regression_methods,1_tullibee,tullibee.ScannerSubscription,test11,,2,5,3,1,Asserting object initialization multiple times|Testing only field accesors,Asserting object initialization multiple times|Duplicated Setup|Multiple calls to the same void method|Not asserted side effects|Testing only field accesors
