smell_type,category,change,project,key,method,count_before,count_after,delta,smells_before,smells_after,diff_path
Not asserted side effects,easy,removed,85_shop,shop.JSJshopNode,test3,5,1,-4,Asserting object initialization multiple times|Duplicated Setup|Multiple calls to the same void method|Not asserted return values|Not asserted side effects,Not asserted return values,output/by_project/85_shop/run_20260128_063749/patches/shop/JSJshopNode/test3.diff
Not asserted side effects,easy,removed,93_quickserver,quickserver.QuickServer,test099,5,1,-4,Asserting object initialization multiple times|Duplicated Setup|Multiple calls to the same void method|Not asserted return values|Not asserted side effects,Duplicated Setup,output/by_project/93_quickserver/run_20260128_105030/patches/quickserver/QuickServer/test099.diff
Exceptions due to null arguments,easy,removed,54_db-everywhere,db-everywhere.CreateTableAction,test5,5,1,-4,Duplicated Setup|Exceptions due to incomplete setup|Exceptions due to null arguments|Not asserted return values|Testing the same exception scenario,Not asserted return values,output/by_project/54_db-everywhere/run_20260128_154344/patches/db-everywhere/CreateTableAction/test5.diff
Exceptions due to null arguments,easy,removed,49_diebierse,diebierse.DefaultInfoViewMouseListener,test3,4,0,-4,Duplicated Setup|Exceptions due to incomplete setup|Exceptions due to null arguments|Testing the same exception scenario,,output/by_project/49_diebierse/run_20260128_001935/patches/diebierse/DefaultInfoViewMouseListener/test3.diff
Exceptions due to external dependencies,easy,removed,68_biblestudy,biblestudy.Base,test0,3,1,-2,Duplicated Setup|Exceptions due to external dependencies|Not asserted return values,Testing only field accesors,output/by_project/68_biblestudy/run_20260128_023837/patches/biblestudy/Base/test0.diff
Exceptions due to external dependencies,easy,removed,19_jmca,jmca.JavaCharStream,test15,3,1,-2,Duplicated Setup|Exceptions due to external dependencies|Not asserted return values,Asserting object initialization multiple times,output/by_project/19_jmca/run_20260128_023712/patches/jmca/JavaCharStream/test15.diff
Not asserted return values,easy,removed,93_quickserver,quickserver.QuickServer,test099,5,1,-4,Asserting object initialization multiple times|Duplicated Setup|Multiple calls to the same void method|Not asserted return values|Not asserted side effects,Duplicated Setup,output/by_project/93_quickserver/run_20260128_105030/patches/quickserver/QuickServer/test099.diff
Not asserted return values,easy,removed,52_lagoon,lagoon.Node,test07,4,0,-4,Duplicated Setup|Multiple calls to the same void method|Not asserted return values|Not asserted side effects,,output/by_project/52_lagoon/run_20260127_193324/patches/lagoon/Node/test07.diff
Testing the same exception scenario,easy,removed,54_db-everywhere,db-everywhere.CreateTableAction,test5,5,1,-4,Duplicated Setup|Exceptions due to incomplete setup|Exceptions due to null arguments|Not asserted return values|Testing the same exception scenario,Not asserted return values,output/by_project/54_db-everywhere/run_20260128_154344/patches/db-everywhere/CreateTableAction/test5.diff
Testing the same exception scenario,easy,removed,96_heal,heal.UserReviewDAO,test3,4,0,-4,Duplicated Setup|Exceptions due to incomplete setup|Exceptions due to null arguments|Testing the same exception scenario,,output/by_project/96_heal/run_20260128_122524/patches/heal/UserReviewDAO/test3.diff
Asserting object initialization multiple times,easy,removed,85_shop,shop.JSJshopNode,test3,5,1,-4,Asserting object initialization multiple times|Duplicated Setup|Multiple calls to the same void method|Not asserted return values|Not asserted side effects,Not asserted return values,output/by_project/85_shop/run_20260128_063749/patches/shop/JSJshopNode/test3.diff
Asserting object initialization multiple times,easy,removed,93_quickserver,quickserver.QuickServer,test099,5,1,-4,Asserting object initialization multiple times|Duplicated Setup|Multiple calls to the same void method|Not asserted return values|Not asserted side effects,Duplicated Setup,output/by_project/93_quickserver/run_20260128_105030/patches/quickserver/QuickServer/test099.diff
Testing only field accesors,easy,removed,57_hft-bomberman,hft-bomberman.SessionDetailsMsg,test6,4,0,-4,Asserting object initialization multiple times|Duplicated Setup|Not asserted return values|Testing only field accesors,,output/by_project/57_hft-bomberman/run_20260128_022159/patches/hft-bomberman/SessionDetailsMsg/test6.diff
Testing only field accesors,easy,removed,51_jiprof,jiprof.Frame,test24,4,1,-3,Asserting object initialization multiple times|Duplicated Setup|Not asserted return values|Testing only field accesors,Duplicated Setup,output/by_project/51_jiprof/run_20260127_164837/patches/jiprof/Frame/test24.diff
Multiple calls to the same void method,hard,introduced,29_apbsmem,apbsmem.PlotYAxis,test13,1,5,4,Exceptions due to incomplete setup,Asserting object initialization multiple times|Multiple calls to the same void method|Not asserted side effects|Not null assertion|Testing only field accesors,output/by_project/29_apbsmem/run_20260127_171148/patches/apbsmem/PlotYAxis/test13.diff
Multiple calls to the same void method,hard,introduced,96_heal,heal.AdvSearchDAO,test09,2,6,4,Duplicated Setup|Exceptions due to incomplete setup,Asserting object initialization multiple times|Duplicated Setup|Multiple calls to the same void method|Not asserted side effects|Not null assertion|Testing only field accesors,output/by_project/96_heal/run_20260128_122524/patches/heal/AdvSearchDAO/test09.diff
Exceptions due to incomplete setup,easy,removed,54_db-everywhere,db-everywhere.CreateTableAction,test5,5,1,-4,Duplicated Setup|Exceptions due to incomplete setup|Exceptions due to null arguments|Not asserted return values|Testing the same exception scenario,Not asserted return values,output/by_project/54_db-everywhere/run_20260128_154344/patches/db-everywhere/CreateTableAction/test5.diff
Exceptions due to incomplete setup,easy,removed,49_diebierse,diebierse.DefaultInfoViewMouseListener,test3,4,0,-4,Duplicated Setup|Exceptions due to incomplete setup|Exceptions due to null arguments|Testing the same exception scenario,,output/by_project/49_diebierse/run_20260128_001935/patches/diebierse/DefaultInfoViewMouseListener/test3.diff
Asserting Constants,easy,removed,51_jiprof,jiprof.GeneratorAdapter,test041,5,2,-3,Asserting Constants|Asserting object initialization multiple times|Duplicated Setup|Multiple calls to the same void method|Not asserted side effects,Multiple calls to the same void method|Not asserted side effects,output/by_project/51_jiprof/run_20260127_164837/patches/jiprof/GeneratorAdapter/test041.diff
Asserting Constants,easy,removed,85_shop,shop.JSJshop,test09,4,1,-3,Asserting Constants|Asserting object initialization multiple times|Duplicated Setup|Not asserted return values,Not null assertion,output/by_project/85_shop/run_20260128_063749/patches/shop/JSJshop/test09.diff
Not null assertion,hard,introduced,29_apbsmem,apbsmem.PlotYAxis,test13,1,5,4,Exceptions due to incomplete setup,Asserting object initialization multiple times|Multiple calls to the same void method|Not asserted side effects|Not null assertion|Testing only field accesors,output/by_project/29_apbsmem/run_20260127_171148/patches/apbsmem/PlotYAxis/test13.diff
Not null assertion,hard,introduced,96_heal,heal.AdvSearchDAO,test09,2,6,4,Duplicated Setup|Exceptions due to incomplete setup,Asserting object initialization multiple times|Duplicated Setup|Multiple calls to the same void method|Not asserted side effects|Not null assertion|Testing only field accesors,output/by_project/96_heal/run_20260128_122524/patches/heal/AdvSearchDAO/test09.diff
Duplicated Setup,easy,removed,85_shop,shop.JSJshopNode,test3,5,1,-4,Asserting object initialization multiple times|Duplicated Setup|Multiple calls to the same void method|Not asserted return values|Not asserted side effects,Not asserted return values,output/by_project/85_shop/run_20260128_063749/patches/shop/JSJshopNode/test3.diff
Duplicated Setup,easy,removed,54_db-everywhere,db-everywhere.CreateTableAction,test5,5,1,-4,Duplicated Setup|Exceptions due to incomplete setup|Exceptions due to null arguments|Not asserted return values|Testing the same exception scenario,Not asserted return values,output/by_project/54_db-everywhere/run_20260128_154344/patches/db-everywhere/CreateTableAction/test5.diff
