project,key,method,count_before,count_after,delta,validity_ok,success
1_tullibee,tullibee.EReader,test14,1,1,0,0,0
1_tullibee,tullibee.Contract,test00,2,2,0,1,0
1_tullibee,tullibee.ScannerSubscription,test40,2,5,3,1,0
1_tullibee,tullibee.ComboLeg,test8,1,1,0,1,0
1_tullibee,tullibee.Order,test14,2,2,0,1,0
1_tullibee,tullibee.Order,test26,2,2,0,1,0
1_tullibee,tullibee.EReader,test02,2,1,-1,1,1
1_tullibee,tullibee.ScannerSubscription,test30,3,6,3,1,0
1_tullibee,tullibee.Order,test02,2,2,0,0,0
1_tullibee,tullibee.EReader,test19,1,1,0,0,0
1_tullibee,tullibee.EClientSocket,test46,2,0,-2,1,1
1_tullibee,tullibee.EClientSocket,test43,2,1,-1,0,0
1_tullibee,tullibee.ScannerSubscription,test01,3,2,-1,1,1
1_tullibee,tullibee.EReader,test60,3,2,-1,1,1
1_tullibee,tullibee.Order,test21,2,2,0,1,0
1_tullibee,tullibee.EReader,test18,3,3,0,0,0
1_tullibee,tullibee.Order,test18,3,2,-1,1,1
1_tullibee,tullibee.Contract,test04,1,0,-1,1,1
1_tullibee,tullibee.ScannerSubscription,test10,3,4,1,1,0
1_tullibee,tullibee.Order,test27,2,2,0,1,0
1_tullibee,tullibee.Util,test16,1,1,0,1,0
1_tullibee,tullibee.Order,test33,2,2,0,1,0
1_tullibee,tullibee.Execution,test1,1,0,-1,1,1
1_tullibee,tullibee.TickType,test04,1,0,-1,1,1
1_tullibee,tullibee.ExecutionFilter,test8,1,0,-1,1,1
1_tullibee,tullibee.ScannerSubscription,test05,3,5,2,1,0
1_tullibee,tullibee.EReader,test54,1,1,0,1,0
1_tullibee,tullibee.Contract,test11,1,1,0,1,0
1_tullibee,tullibee.TickType,test28,1,0,-1,1,1
1_tullibee,tullibee.EException,test3,2,1,-1,1,1
1_tullibee,tullibee.Contract,test15,2,1,-1,1,1
1_tullibee,tullibee.Order,test54,2,2,0,1,0
1_tullibee,tullibee.ComboLeg,test9,1,1,0,1,0
1_tullibee,tullibee.TickType,test15,1,0,-1,1,1
1_tullibee,tullibee.TickType,test23,1,0,-1,1,1
1_tullibee,tullibee.Order,test36,2,2,0,1,0
1_tullibee,tullibee.TickType,test41,1,0,-1,1,1
1_tullibee,tullibee.TickType,test22,1,0,-1,1,1
1_tullibee,tullibee.OrderState,test09,1,1,0,1,0
1_tullibee,tullibee.ComboLeg,test0,1,1,0,1,0
1_tullibee,tullibee.OrderState,test00,1,1,0,1,0
1_tullibee,tullibee.EClientSocket,test25,1,0,-1,1,1
1_tullibee,tullibee.EReader,test59,2,1,-1,1,1
1_tullibee,tullibee.EReader,test47,2,1,-1,1,1
1_tullibee,tullibee.EReader,test44,1,1,0,0,0
1_tullibee,tullibee.ComboLeg,test7,1,1,0,1,0
1_tullibee,tullibee.EReader,test50,1,1,0,0,0
1_tullibee,tullibee.ScannerSubscription,test04,2,5,3,1,0
1_tullibee,tullibee.Order,test59,1,1,0,1,0
1_tullibee,tullibee.Order,test44,2,2,0,1,0
1_tullibee,tullibee.ExecutionFilter,test9,1,1,0,1,0
1_tullibee,tullibee.TagValue,test4,1,0,-1,1,1
1_tullibee,tullibee.EClientSocket,test38,3,0,-3,1,1
1_tullibee,tullibee.TickType,test08,1,0,-1,1,1
1_tullibee,tullibee.Order,test50,2,2,0,1,0
1_tullibee,tullibee.EReader,test09,1,1,0,0,0
1_tullibee,tullibee.Execution,test2,1,0,-1,1,1
1_tullibee,tullibee.Contract,test13,2,2,0,1,0
1_tullibee,tullibee.ScannerSubscription,test28,2,4,2,1,0
1_tullibee,tullibee.Order,test09,1,1,0,1,0
1_tullibee,tullibee.EClientSocket,test35,1,0,-1,0,0
1_tullibee,tullibee.TickType,test13,1,0,-1,1,1
1_tullibee,tullibee.EReader,test00,2,1,-1,1,1
1_tullibee,tullibee.EReader,test45,1,1,0,0,0
1_tullibee,tullibee.ScannerSubscription,test15,3,2,-1,1,1
1_tullibee,tullibee.ScannerSubscription,test23,3,2,-1,1,1
1_tullibee,tullibee.Contract,test06,1,1,0,1,0
1_tullibee,tullibee.EReader,test31,1,1,0,0,0
1_tullibee,tullibee.Order,test45,1,1,0,1,0
1_tullibee,tullibee.Order,test00,1,0,-1,1,1
1_tullibee,tullibee.TickType,test06,1,1,0,1,0
1_tullibee,tullibee.Util,test05,1,0,-1,1,1
1_tullibee,tullibee.Order,test31,2,2,0,1,0
1_tullibee,tullibee.TickType,test17,1,0,-1,1,1
1_tullibee,tullibee.ExecutionFilter,test7,1,1,0,1,0
1_tullibee,tullibee.ScannerSubscription,test22,3,5,2,1,0
1_tullibee,tullibee.TickType,test03,1,1,0,1,0
1_tullibee,tullibee.EClientSocket,test16,1,0,-1,1,1
1_tullibee,tullibee.Order,test20,2,2,0,1,0
1_tullibee,tullibee.EClientErrors,test1,1,1,0,1,0
1_tullibee,tullibee.TickType,test14,1,0,-1,1,1
1_tullibee,tullibee.TickType,test26,1,1,0,1,0
1_tullibee,tullibee.Contract,test02,2,1,-1,1,1
1_tullibee,tullibee.EReader,test32,1,1,0,0,0
1_tullibee,tullibee.TickType,test02,1,0,-1,1,1
1_tullibee,tullibee.EReader,test04,2,2,0,1,0
1_tullibee,tullibee.EClientSocket,test39,1,0,-1,1,1
1_tullibee,tullibee.Order,test32,3,1,-2,1,1
1_tullibee,tullibee.TickType,test21,1,0,-1,1,1
1_tullibee,tullibee.ScannerSubscription,test08,3,5,2,1,0
1_tullibee,tullibee.EReader,test42,2,2,0,1,0
1_tullibee,tullibee.EReader,test11,2,2,0,1,0
1_tullibee,tullibee.TickType,test18,1,0,-1,1,1
1_tullibee,tullibee.EReader,test15,3,2,-1,1,1
