project,attempted_methods,validity_ok_methods,improved_methods,success_methods,success_rate,status
1_tullibee,345,305,127,123,0.356522,ok
2_a4j,394,354,109,98,0.248731,ok
3_gaj,32,13,5,5,0.156250,ok
4_rif,33,33,18,18,0.545455,ok
5_templateit,125,78,52,45,0.360000,ok
6_jnfe,118,85,47,47,0.398305,ok
7_sfmis,135,79,33,33,0.244444,ok
8_gfarcegestionfa,133,110,63,58,0.436090,ok
9_falselight,8,8,2,2,0.250000,ok
10_water-simulator,184,15,94,10,0.054348,ok
11_imsmart,25,21,5,5,0.200000,ok
12_dsachat,130,110,36,34,0.261538,ok
13_jdbacl,956,343,198,168,0.175732,ok
14_omjstate,38,34,18,17,0.447368,ok
15_beanbin,81,55,28,23,0.283951,ok
16_templatedetails,15,6,2,2,0.133333,ok
17_inspirento,160,133,57,55,0.343750,ok
18_jsecurity,989,178,162,75,0.075834,ok
19_jmca,422,287,165,130,0.308057,ok
20_nekomud,14,10,5,4,0.285714,ok
21_geo-google,933,293,172,108,0.115756,ok
22_byuic,338,278,48,46,0.136095,ok
23_jwbf,26,23,10,10,0.384615,ok
24_saxpath,164,143,52,37,0.225610,ok
25_jni-inchi,192,157,42,38,0.197917,ok
26_jipa,27,27,20,20,0.740741,ok
27_gangup,399,307,110,100,0.250627,ok
28_greencow,1,1,0,0,0.000000,ok
29_apbsmem,283,226,108,103,0.363958,ok
30_bpmail,122,107,38,36,0.295082,ok
31_xisemele,167,104,58,53,0.317365,ok
32_httpanalyzer,29,21,10,8,0.275862,ok
33_javaviewcontrol,156,123,42,41,0.262821,ok
34_sbmlreader2,14,1,4,0,0.000000,ok
35_corina,1205,156,181,56,0.046473,ok
36_schemaspy,428,257,111,99,0.231308,ok
37_petsoar,261,77,54,35,0.134100,ok
38_javabullboard,252,142,59,42,0.166667,ok
39_diffi,46,41,11,10,0.217391,ok
40_glengineer,270,209,69,65,0.240741,ok
41_follow,181,112,67,56,0.309392,ok
42_asphodel,52,21,14,4,0.076923,ok
45_lotus,50,9,23,5,0.100000,ok
46_nutzenportfolio,587,66,74,30,0.051107,ok
47_dvd-homevideo,19,17,14,14,0.736842,ok
48_resources4j,20,17,10,9,0.450000,ok
49_diebierse,116,96,32,31,0.267241,ok
50_biff,33,22,8,6,0.181818,ok
51_jiprof,848,596,330,310,0.365566,ok
52_lagoon,404,267,142,127,0.314356,ok
53_shp2kml,10,10,6,6,0.600000,ok
54_db-everywhere,799,167,97,53,0.066333,ok
55_lavalamp,134,105,47,39,0.291045,ok
56_jhandballmoves,433,313,143,126,0.290993,ok
57_hft-bomberman,433,271,201,164,0.378753,ok
58_fps370,39,36,19,19,0.487179,ok
59_mygrid,314,212,116,86,0.273885,ok
60_sugar,174,135,58,51,0.293103,ok
61_noen,1212,19,457,5,0.004125,ok
63_objectexplorer,343,34,42,25,0.072886,ok
65_gsftp,58,47,13,12,0.206897,ok
67_gae-app-manager,25,23,12,12,0.480000,ok
68_biblestudy,178,151,62,56,0.314607,ok
69_lhamacaw,800,386,165,150,0.187500,ok
70_echodep,211,179,76,70,0.331754,ok
71_ext4j,174,132,77,61,0.350575,ok
72_battlecry,87,70,33,33,0.379310,ok
73_fim1,226,204,89,86,0.380531,ok
74_fixsuite,134,123,33,33,0.246269,ok
75_openhre,763,592,261,236,0.309305,ok
76_dash-framework,17,14,5,3,0.176471,ok
77_io-project,55,10,23,6,0.109091,ok
79_twfbplayer,477,227,123,108,0.226415,ok
81_javathena,848,717,231,221,0.260613,ok
82_ipcalculator,15,9,4,0,0.000000,ok
83_xbus,562,365,153,134,0.238434,ok
85_shop,287,232,140,134,0.466899,ok
86_at-robots2-j,733,285,323,138,0.188267,ok
87_jaw-br,115,98,53,51,0.443478,ok
88_jopenchart,284,205,76,67,0.235915,ok
89_jiggler,925,736,504,440,0.475676,ok
90_dcparseargs,37,34,20,20,0.540541,ok
91_classviewer,65,55,26,23,0.353846,ok
92_jcvi-javacommon,2407,432,356,216,0.089738,ok
93_quickserver,1068,860,400,371,0.347378,ok
94_jclo,15,14,5,4,0.266667,ok
95_celwars2009,40,35,14,12,0.300000,ok
96_heal,1369,1193,603,582,0.425128,ok
97_feudalismgame,165,98,46,43,0.260606,ok
98_trans-locator,19,16,6,6,0.315789,ok
99_newzgrabber,176,143,81,73,0.414773,ok
100_jgaap,57,42,38,33,0.578947,ok
101_netweaver,2000,1841,712,704,0.352000,ok
106_checkstyle,477,142,103,74,0.155136,ok
