project,smell_type,count_before,count_after,delta,status
1_tullibee,Asserting Constants,4,7,3,ok
1_tullibee,Asserting object initialization multiple times,236,185,-51,ok
1_tullibee,Duplicated Setup,126,136,10,ok
1_tullibee,Exceptions due to external dependencies,3,3,0,ok
1_tullibee,Exceptions due to incomplete setup,17,4,-13,ok
1_tullibee,Exceptions due to null arguments,17,3,-14,ok
1_tullibee,Multiple calls to the same void method,0,32,32,ok
1_tullibee,Not asserted return values,26,25,-1,ok
1_tullibee,Not asserted side effects,22,40,18,ok
1_tullibee,Not null assertion,3,1,-2,ok
1_tullibee,Testing only field accesors,49,47,-2,ok
1_tullibee,Testing the same exception scenario,46,0,-46,ok
2_a4j,Asserting object initialization multiple times,148,97,-51,ok
2_a4j,Duplicated Setup,82,85,3,ok
2_a4j,Exceptions due to incomplete setup,9,0,-9,ok
2_a4j,Exceptions due to null arguments,2,0,-2,ok
2_a4j,Multiple calls to the same void method,68,90,22,ok
2_a4j,Not asserted return values,11,66,55,ok
2_a4j,Not asserted side effects,207,173,-34,ok
2_a4j,Not null assertion,6,17,11,ok
2_a4j,Testing only field accesors,202,182,-20,ok
2_a4j,Testing the same exception scenario,2,0,-2,ok
3_gaj,Asserting object initialization multiple times,14,15,1,ok
3_gaj,Duplicated Setup,2,4,2,ok
3_gaj,Exceptions due to incomplete setup,8,3,-5,ok
3_gaj,Exceptions due to null arguments,2,0,-2,ok
3_gaj,Not asserted return values,7,9,2,ok
3_gaj,Not asserted side effects,7,8,1,ok
3_gaj,Not null assertion,0,3,3,ok
3_gaj,Testing only field accesors,14,13,-1,ok
3_gaj,Testing the same exception scenario,5,0,-5,ok
4_rif,Asserting Constants,3,0,-3,ok
4_rif,Asserting object initialization multiple times,24,16,-8,ok
4_rif,Duplicated Setup,6,0,-6,ok
4_rif,Exceptions due to incomplete setup,2,0,-2,ok
4_rif,Exceptions due to null arguments,2,0,-2,ok
4_rif,Multiple calls to the same void method,0,3,3,ok
4_rif,Not asserted return values,3,3,0,ok
4_rif,Not asserted side effects,5,6,1,ok
4_rif,Not null assertion,0,6,6,ok
4_rif,Testing only field accesors,13,14,1,ok
5_templateit,Asserting object initialization multiple times,71,60,-11,ok
5_templateit,Duplicated Setup,60,50,-10,ok
5_templateit,Exceptions due to external dependencies,2,1,-1,ok
5_templateit,Exceptions due to incomplete setup,7,5,-2,ok
5_templateit,Exceptions due to null arguments,11,8,-3,ok
5_templateit,Multiple calls to the same void method,3,3,0,ok
5_templateit,Not asserted return values,25,13,-12,ok
5_templateit,Not asserted side effects,12,7,-5,ok
5_templateit,Not null assertion,2,3,1,ok
5_templateit,Testing only field accesors,21,19,-2,ok
5_templateit,Testing the same exception scenario,8,2,-6,ok
6_jnfe,Asserting object initialization multiple times,75,44,-31,ok
6_jnfe,Duplicated Setup,6,5,-1,ok
6_jnfe,Exceptions due to external dependencies,6,6,0,ok
6_jnfe,Exceptions due to incomplete setup,4,1,-3,ok
6_jnfe,Exceptions due to null arguments,2,1,-1,ok
6_jnfe,Multiple calls to the same void method,8,12,4,ok
6_jnfe,Not asserted return values,1,10,9,ok
6_jnfe,Not asserted side effects,28,26,-2,ok
6_jnfe,Not null assertion,1,3,2,ok
6_jnfe,Testing only field accesors,61,22,-39,ok
6_jnfe,Testing the same exception scenario,5,5,0,ok
7_sfmis,Asserting object initialization multiple times,68,63,-5,ok
7_sfmis,Duplicated Setup,14,24,10,ok
7_sfmis,Exceptions due to incomplete setup,10,10,0,ok
7_sfmis,Exceptions due to null arguments,5,5,0,ok
7_sfmis,Multiple calls to the same void method,6,10,4,ok
7_sfmis,Not asserted return values,16,5,-11,ok
7_sfmis,Not asserted side effects,45,31,-14,ok
7_sfmis,Not null assertion,0,4,4,ok
7_sfmis,Testing only field accesors,95,92,-3,ok
7_sfmis,Testing the same exception scenario,14,12,-2,ok
8_gfarcegestionfa,Asserting object initialization multiple times,75,64,-11,ok
8_gfarcegestionfa,Duplicated Setup,25,10,-15,ok
8_gfarcegestionfa,Exceptions due to external dependencies,1,1,0,ok
8_gfarcegestionfa,Exceptions due to incomplete setup,9,3,-6,ok
8_gfarcegestionfa,Exceptions due to null arguments,11,4,-7,ok
8_gfarcegestionfa,Multiple calls to the same void method,8,7,-1,ok
8_gfarcegestionfa,Not asserted return values,7,6,-1,ok
8_gfarcegestionfa,Not asserted side effects,35,26,-9,ok
8_gfarcegestionfa,Not null assertion,0,6,6,ok
8_gfarcegestionfa,Testing only field accesors,46,35,-11,ok
8_gfarcegestionfa,Testing the same exception scenario,8,0,-8,ok
9_falselight,Asserting object initialization multiple times,8,4,-4,ok
9_falselight,Not asserted return values,0,3,3,ok
9_falselight,Not null assertion,0,3,3,ok
10_water-simulator,Asserting Constants,17,6,-11,ok
10_water-simulator,Asserting object initialization multiple times,81,45,-36,ok
10_water-simulator,Duplicated Setup,62,50,-12,ok
10_water-simulator,Exceptions due to incomplete setup,11,2,-9,ok
10_water-simulator,Exceptions due to null arguments,4,3,-1,ok
10_water-simulator,Multiple calls to the same void method,7,21,14,ok
