smell_type,count_before,count_after,delta
Asserting Constants,414,232,-182
Asserting object initialization multiple times,14398,12415,-1983
Duplicated Setup,10524,8938,-1586
Exceptions due to external dependencies,276,164,-112
Exceptions due to incomplete setup,1572,720,-852
Exceptions due to null arguments,2066,1131,-935
Multiple calls to the same void method,4099,4693,594
Not asserted return values,4648,4229,-419
Not asserted side effects,7712,7290,-422
Not null assertion,536,1137,601
Testing only field accesors,6587,5933,-654
Testing the same exception scenario,3202,1172,-2030
