project,smell_type,count_before,count_after,delta,test_methods,loc_tests,density_before_tests,density_after_tests,delta_density_tests,density_before_loc,density_after_loc,delta_density_loc,status
1_tullibee,Asserting Constants,4,7,3,411,3924,0.00973236,0.01703163,0.00729927,0.00101937,0.00178389,0.00076453,ok
1_tullibee,Asserting object initialization multiple times,236,185,-51,411,3924,0.57420925,0.45012165,-0.12408759,0.06014271,0.04714577,-0.01299694,ok
1_tullibee,Duplicated Setup,126,136,10,411,3924,0.30656934,0.33090024,0.02433090,0.03211009,0.03465851,0.00254842,ok
1_tullibee,Exceptions due to external dependencies,3,3,0,411,3924,0.00729927,0.00729927,0.00000000,0.00076453,0.00076453,0.00000000,ok
1_tullibee,Exceptions due to incomplete setup,17,4,-13,411,3924,0.04136253,0.00973236,-0.03163017,0.00433231,0.00101937,-0.00331295,ok
1_tullibee,Exceptions due to null arguments,17,3,-14,411,3924,0.04136253,0.00729927,-0.03406326,0.00433231,0.00076453,-0.00356779,ok
1_tullibee,Multiple calls to the same void method,0,32,32,411,3924,0.00000000,0.07785888,0.07785888,0.00000000,0.00815494,0.00815494,ok
1_tullibee,Not asserted return values,26,25,-1,411,3924,0.06326034,0.06082725,-0.00243309,0.00662589,0.00637105,-0.00025484,ok
1_tullibee,Not asserted side effects,22,40,18,411,3924,0.05352798,0.09732360,0.04379562,0.00560652,0.01019368,0.00458716,ok
1_tullibee,Not null assertion,3,1,-2,411,3924,0.00729927,0.00243309,-0.00486618,0.00076453,0.00025484,-0.00050968,ok
1_tullibee,Testing only field accesors,49,47,-2,411,3924,0.11922141,0.11435523,-0.00486618,0.01248726,0.01197757,-0.00050968,ok
1_tullibee,Testing the same exception scenario,46,0,-46,411,3924,0.11192214,0.00000000,-0.11192214,0.01172273,0.00000000,-0.01172273,ok
2_a4j,Asserting object initialization multiple times,148,97,-51,462,4547,0.32034632,0.20995671,-0.11038961,0.03254893,0.02133275,-0.01121619,ok
2_a4j,Duplicated Setup,82,85,3,462,4547,0.17748918,0.18398268,0.00649351,0.01803387,0.01869364,0.00065978,ok
2_a4j,Exceptions due to incomplete setup,9,0,-9,462,4547,0.01948052,0.00000000,-0.01948052,0.00197933,0.00000000,-0.00197933,ok
2_a4j,Exceptions due to null arguments,2,0,-2,462,4547,0.00432900,0.00000000,-0.00432900,0.00043985,0.00000000,-0.00043985,ok
2_a4j,Multiple calls to the same void method,68,90,22,462,4547,0.14718615,0.19480519,0.04761905,0.01495492,0.01979327,0.00483835,ok
2_a4j,Not asserted return values,11,66,55,462,4547,0.02380952,0.14285714,0.11904762,0.00241918,0.01451506,0.01209589,ok
2_a4j,Not asserted side effects,207,173,-34,462,4547,0.44805195,0.37445887,-0.07359307,0.04552452,0.03804706,-0.00747746,ok
2_a4j,Not null assertion,6,17,11,462,4547,0.01298701,0.03679654,0.02380952,0.00131955,0.00373873,0.00241918,ok
2_a4j,Testing only field accesors,202,182,-20,462,4547,0.43722944,0.39393939,-0.04329004,0.04442490,0.04002639,-0.00439850,ok
2_a4j,Testing the same exception scenario,2,0,-2,462,4547,0.00432900,0.00000000,-0.00432900,0.00043985,0.00000000,-0.00043985,ok
3_gaj,Asserting object initialization multiple times,14,15,1,42,504,0.33333333,0.35714286,0.02380952,0.02777778,0.02976190,0.00198413,ok
3_gaj,Duplicated Setup,2,4,2,42,504,0.04761905,0.09523810,0.04761905,0.00396825,0.00793651,0.00396825,ok
3_gaj,Exceptions due to incomplete setup,8,3,-5,42,504,0.19047619,0.07142857,-0.11904762,0.01587302,0.00595238,-0.00992063,ok
3_gaj,Exceptions due to null arguments,2,0,-2,42,504,0.04761905,0.00000000,-0.04761905,0.00396825,0.00000000,-0.00396825,ok
3_gaj,Not asserted return values,7,9,2,42,504,0.16666667,0.21428571,0.04761905,0.01388889,0.01785714,0.00396825,ok
3_gaj,Not asserted side effects,7,8,1,42,504,0.16666667,0.19047619,0.02380952,0.01388889,0.01587302,0.00198413,ok
3_gaj,Not null assertion,0,3,3,42,504,0.00000000,0.07142857,0.07142857,0.00000000,0.00595238,0.00595238,ok
3_gaj,Testing only field accesors,14,13,-1,42,504,0.33333333,0.30952381,-0.02380952,0.02777778,0.02579365,-0.00198413,ok
3_gaj,Testing the same exception scenario,5,0,-5,42,504,0.11904762,0.00000000,-0.11904762,0.00992063,0.00000000,-0.00992063,ok
4_rif,Asserting Constants,3,0,-3,51,677,0.05882353,0.00000000,-0.05882353,0.00443131,0.00000000,-0.00443131,ok
4_rif,Asserting object initialization multiple times,24,16,-8,51,677,0.47058824,0.31372549,-0.15686275,0.03545052,0.02363368,-0.01181684,ok
4_rif,Duplicated Setup,6,0,-6,51,677,0.11764706,0.00000000,-0.11764706,0.00886263,0.00000000,-0.00886263,ok
4_rif,Exceptions due to incomplete setup,2,0,-2,51,677,0.03921569,0.00000000,-0.03921569,0.00295421,0.00000000,-0.00295421,ok
4_rif,Exceptions due to null arguments,2,0,-2,51,677,0.03921569,0.00000000,-0.03921569,0.00295421,0.00000000,-0.00295421,ok
4_rif,Multiple calls to the same void method,0,3,3,51,677,0.00000000,0.05882353,0.05882353,0.00000000,0.00443131,0.00443131,ok
4_rif,Not asserted return values,3,3,0,51,677,0.05882353,0.05882353,0.00000000,0.00443131,0.00443131,0.00000000,ok
4_rif,Not asserted side effects,5,6,1,51,677,0.09803922,0.11764706,0.01960784,0.00738552,0.00886263,0.00147710,ok
4_rif,Not null assertion,0,6,6,51,677,0.00000000,0.11764706,0.11764706,0.00000000,0.00886263,0.00886263,ok
4_rif,Testing only field accesors,13,14,1,51,677,0.25490196,0.27450980,0.01960784,0.01920236,0.02067947,0.00147710,ok
5_templateit,Asserting object initialization multiple times,71,60,-11,156,1707,0.45512821,0.38461538,-0.07051282,0.04159344,0.03514938,-0.00644405,ok
5_templateit,Duplicated Setup,60,50,-10,156,1707,0.38461538,0.32051282,-0.06410256,0.03514938,0.02929115,-0.00585823,ok
5_templateit,Exceptions due to external dependencies,2,1,-1,156,1707,0.01282051,0.00641026,-0.00641026,0.00117165,0.00058582,-0.00058582,ok
5_templateit,Exceptions due to incomplete setup,7,5,-2,156,1707,0.04487179,0.03205128,-0.01282051,0.00410076,0.00292912,-0.00117165,ok
5_templateit,Exceptions due to null arguments,11,8,-3,156,1707,0.07051282,0.05128205,-0.01923077,0.00644405,0.00468658,-0.00175747,ok
5_templateit,Multiple calls to the same void method,3,3,0,156,1707,0.01923077,0.01923077,0.00000000,0.00175747,0.00175747,0.00000000,ok
5_templateit,Not asserted return values,25,13,-12,156,1707,0.16025641,0.08333333,-0.07692308,0.01464558,0.00761570,-0.00702988,ok
5_templateit,Not asserted side effects,12,7,-5,156,1707,0.07692308,0.04487179,-0.03205128,0.00702988,0.00410076,-0.00292912,ok
5_templateit,Not null assertion,2,3,1,156,1707,0.01282051,0.01923077,0.00641026,0.00117165,0.00175747,0.00058582,ok
5_templateit,Testing only field accesors,21,19,-2,156,1707,0.13461538,0.12179487,-0.01282051,0.01230228,0.01113064,-0.00117165,ok
5_templateit,Testing the same exception scenario,8,2,-6,156,1707,0.05128205,0.01282051,-0.03846154,0.00468658,0.00117165,-0.00351494,ok
6_jnfe,Asserting object initialization multiple times,75,44,-31,141,1883,0.53191489,0.31205674,-0.21985816,0.03983006,0.02336697,-0.01646309,ok
6_jnfe,Duplicated Setup,6,5,-1,141,1883,0.04255319,0.03546099,-0.00709220,0.00318640,0.00265534,-0.00053107,ok
6_jnfe,Exceptions due to external dependencies,6,6,0,141,1883,0.04255319,0.04255319,0.00000000,0.00318640,0.00318640,0.00000000,ok
6_jnfe,Exceptions due to incomplete setup,4,1,-3,141,1883,0.02836879,0.00709220,-0.02127660,0.00212427,0.00053107,-0.00159320,ok
6_jnfe,Exceptions due to null arguments,2,1,-1,141,1883,0.01418440,0.00709220,-0.00709220,0.00106213,0.00053107,-0.00053107,ok
6_jnfe,Multiple calls to the same void method,8,12,4,141,1883,0.05673759,0.08510638,0.02836879,0.00424854,0.00637281,0.00212427,ok
6_jnfe,Not asserted return values,1,10,9,141,1883,0.00709220,0.07092199,0.06382979,0.00053107,0.00531067,0.00477961,ok
