smell_type,count_before,count_after,delta,reduction_rate,tag
Testing the same exception scenario,3202,1172,-2030,0.633979,easy
Exceptions due to incomplete setup,1572,720,-852,0.541985,easy
Exceptions due to null arguments,2066,1131,-935,0.452565,easy
Asserting Constants,414,232,-182,0.439614,easy
Exceptions due to external dependencies,276,164,-112,0.405797,easy
Duplicated Setup,10524,8938,-1586,0.150703,easy
Asserting object initialization multiple times,14398,12415,-1983,0.137727,easy
Testing only field accesors,6587,5933,-654,0.099286,easy
Not asserted return values,4648,4229,-419,0.090146,easy
Not asserted side effects,7712,7290,-422,0.054720,easy
Multiple calls to the same void method,4099,4693,594,-0.144913,hard
Not null assertion,536,1137,601,-1.121269,hard
