project,phase,k_smell_types,count,status
1_tullibee,before,1,189,ok
1_tullibee,before,2,108,ok
1_tullibee,before,3,48,ok
1_tullibee,after,1,122,ok
1_tullibee,after,2,91,ok
1_tullibee,after,3,7,ok
1_tullibee,after,4,14,ok
1_tullibee,after,5,18,ok
1_tullibee,after,6,2,ok
2_a4j,before,1,106,ok
2_a4j,before,2,242,ok
2_a4j,before,3,37,ok
2_a4j,before,4,9,ok
2_a4j,after,1,139,ok
2_a4j,after,2,127,ok
2_a4j,after,3,92,ok
2_a4j,after,4,9,ok
2_a4j,after,5,1,ok
3_gaj,before,1,10,ok
3_gaj,before,2,17,ok
3_gaj,before,3,5,ok
3_gaj,after,1,13,ok
3_gaj,after,2,13,ok
3_gaj,after,3,4,ok
3_gaj,after,4,1,ok
4_rif,before,1,14,ok
4_rif,before,2,14,ok
4_rif,before,3,4,ok
4_rif,before,4,1,ok
4_rif,after,1,9,ok
4_rif,after,2,8,ok
4_rif,after,3,5,ok
4_rif,after,4,2,ok
5_templateit,before,1,47,ok
5_templateit,before,2,61,ok
5_templateit,before,3,15,ok
5_templateit,before,4,2,ok
5_templateit,after,1,64,ok
5_templateit,after,2,34,ok
5_templateit,after,3,13,ok
6_jnfe,before,1,39,ok
6_jnfe,before,2,79,ok
6_jnfe,after,1,39,ok
6_jnfe,after,2,42,ok
6_jnfe,after,3,4,ok
7_sfmis,before,1,26,ok
7_sfmis,before,2,86,ok
7_sfmis,before,3,17,ok
7_sfmis,before,4,6,ok
7_sfmis,after,1,46,ok
7_sfmis,after,2,68,ok
7_sfmis,after,3,18,ok
7_sfmis,after,4,5,ok
8_gfarcegestionfa,before,1,62,ok
8_gfarcegestionfa,before,2,53,ok
8_gfarcegestionfa,before,3,15,ok
8_gfarcegestionfa,before,4,3,ok
8_gfarcegestionfa,after,1,59,ok
8_gfarcegestionfa,after,2,47,ok
8_gfarcegestionfa,after,3,3,ok
9_falselight,before,1,8,ok
9_falselight,after,1,4,ok
9_falselight,after,2,3,ok
10_water-simulator,before,1,76,ok
10_water-simulator,before,2,91,ok
10_water-simulator,before,3,16,ok
10_water-simulator,before,4,1,ok
10_water-simulator,after,1,82,ok
10_water-simulator,after,2,45,ok
10_water-simulator,after,3,16,ok
10_water-simulator,after,4,2,ok
11_imsmart,before,1,22,ok
11_imsmart,before,2,3,ok
11_imsmart,after,1,11,ok
11_imsmart,after,2,6,ok
11_imsmart,after,3,3,ok
11_imsmart,after,4,1,ok
12_dsachat,before,1,59,ok
12_dsachat,before,2,49,ok
12_dsachat,before,3,22,ok
12_dsachat,after,1,54,ok
12_dsachat,after,2,59,ok
12_dsachat,after,3,9,ok
13_jdbacl,before,1,466,ok
13_jdbacl,before,2,375,ok
13_jdbacl,before,3,102,ok
13_jdbacl,before,4,13,ok
13_jdbacl,after,1,460,ok
13_jdbacl,after,2,294,ok
13_jdbacl,after,3,93,ok
13_jdbacl,after,4,12,ok
14_omjstate,before,1,19,ok
14_omjstate,before,2,15,ok
14_omjstate,before,3,4,ok
14_omjstate,after,1,24,ok
14_omjstate,after,2,8,ok
15_beanbin,before,1,40,ok
15_beanbin,before,2,31,ok
15_beanbin,before,3,8,ok
15_beanbin,before,4,2,ok
15_beanbin,after,1,34,ok
15_beanbin,after,2,21,ok
15_beanbin,after,3,9,ok
15_beanbin,after,4,2,ok
16_templatedetails,before,1,11,ok
16_templatedetails,before,2,4,ok
16_templatedetails,after,1,5,ok
16_templatedetails,after,2,7,ok
16_templatedetails,after,3,2,ok
17_inspirento,before,1,78,ok
17_inspirento,before,2,60,ok
17_inspirento,before,3,19,ok
17_inspirento,before,4,3,ok
17_inspirento,after,1,68,ok
17_inspirento,after,2,55,ok
17_inspirento,after,3,15,ok
17_inspirento,after,4,1,ok
18_jsecurity,before,1,483,ok
18_jsecurity,before,2,369,ok
18_jsecurity,before,3,112,ok
18_jsecurity,before,4,21,ok
18_jsecurity,before,5,2,ok
18_jsecurity,before,6,2,ok
18_jsecurity,after,1,477,ok
18_jsecurity,after,2,329,ok
18_jsecurity,after,3,95,ok
18_jsecurity,after,4,15,ok
18_jsecurity,after,5,2,ok
19_jmca,before,1,175,ok
19_jmca,before,2,163,ok
19_jmca,before,3,70,ok
19_jmca,before,4,12,ok
19_jmca,before,5,2,ok
19_jmca,after,1,220,ok
19_jmca,after,2,95,ok
19_jmca,after,3,50,ok
19_jmca,after,4,14,ok
20_nekomud,before,1,8,ok
20_nekomud,before,2,5,ok
20_nekomud,before,3,1,ok
20_nekomud,after,1,7,ok
20_nekomud,after,2,5,ok
21_geo-google,before,1,88,ok
21_geo-google,before,2,669,ok
21_geo-google,before,3,168,ok
21_geo-google,before,4,8,ok
21_geo-google,after,1,232,ok
21_geo-google,after,2,433,ok
21_geo-google,after,3,257,ok
21_geo-google,after,4,6,ok
22_byuic,before,1,214,ok
22_byuic,before,2,104,ok
22_byuic,before,3,17,ok
22_byuic,before,4,2,ok
22_byuic,before,5,1,ok
22_byuic,after,1,202,ok
22_byuic,after,2,103,ok
22_byuic,after,3,12,ok
22_byuic,after,4,2,ok
23_jwbf,before,1,19,ok
23_jwbf,before,2,7,ok
23_jwbf,after,1,15,ok
23_jwbf,after,2,4,ok
24_saxpath,before,1,144,ok
24_saxpath,before,2,20,ok
24_saxpath,after,1,107,ok
24_saxpath,after,2,11,ok
25_jni-inchi,before,1,94,ok
25_jni-inchi,before,2,77,ok
25_jni-inchi,before,3,16,ok
25_jni-inchi,before,4,5,ok
25_jni-inchi,after,1,85,ok
25_jni-inchi,after,2,74,ok
25_jni-inchi,after,3,13,ok
25_jni-inchi,after,4,5,ok
26_jipa,before,1,27,ok
26_jipa,after,1,6,ok
26_jipa,after,2,1,ok
27_gangup,before,1,175,ok
27_gangup,before,2,148,ok
27_gangup,before,3,69,ok
27_gangup,before,4,6,ok
27_gangup,before,5,1,ok
27_gangup,after,1,135,ok
27_gangup,after,2,132,ok
27_gangup,after,3,69,ok
27_gangup,after,4,8,ok
27_gangup,after,5,1,ok
28_greencow,before,1,1,ok
28_greencow,after,2,1,ok
29_apbsmem,before,1,85,ok
29_apbsmem,before,2,112,ok
29_apbsmem,before,3,71,ok
29_apbsmem,before,4,15,ok
29_apbsmem,after,1,95,ok
29_apbsmem,after,2,108,ok
29_apbsmem,after,3,46,ok
29_apbsmem,after,4,6,ok
29_apbsmem,after,5,3,ok
